"","(Intercept)","year","racesex.L","racesex.Q","racesex.C","momed.L","momed.Q","momed.C","momed^4","momemp.L","momemp.Q","momemp.C","famstru.L","famstru.Q","famstru.C","religion.L","religion.Q","religion.C","region.L","region.Q","region.C","year:racesex.L","year:racesex.Q","year:racesex.C"
"ACCEPTABLE",0,0,0,0,0,0,0,3.26738636147184e-12,0.748346455605501,1.20327535793052e-05,4.44089209850063e-16,0.844170406967094,0,0,0.653692038273211,0.00598029304347603,0.918155697185943,0,0.00322353045426871,0.00148160091304961,0,0,0,0
"SOMEWHAT ACCEPTABLE",0,0,0,0,0,0.402103096118502,0,1.73642267726759e-05,1.70263803056514e-09,0.0101192083979427,0,0.338831359049446,0,0,0,0,0.000271816609134001,0,3.92980958441314e-07,0.0195229592620079,0.00781202049875573,0,0,0
"NOT AT ALL ACCEPTABLE",0,0,0,0,0,0,0,0.000165304394626586,1.45111478389026e-10,0,0.296472762434703,0.234707424661863,0,0,0,0,0.00106454510305065,0,2.22044604925031e-16,0,0,0,0,0
