"","(Intercept)","year","racesex.L","racesex.Q","racesex.C","momed.L","momed.Q","momed.C","momed^4","momemp.L","momemp.Q","momemp.C","famstru.L","famstru.Q","famstru.C","religion.L","religion.Q","religion.C","region.L","region.Q","region.C","year:racesex.L","year:racesex.Q","year:racesex.C"
"ACCEPTABLE",-27.856374177709,0.0147112458346771,-3.20250830523305,-14.3767129798932,14.4006523347086,0.326886066991545,-0.282449057691289,0.0805635982160795,0.00426525132526716,0.0577444880195592,-0.109092794066499,0.00269965365792217,-0.471423481730996,-0.222788512119532,0.00313793368773017,0.0387411427961784,0.00140672791039579,0.11774277693447,-0.0240452284416997,0.0336714533570295,0.0962625805492625,0.00146716220915481,0.00721617392547671,-0.0069978491691408
"SOMEWHAT ACCEPTABLE",-13.5775559411329,0.00776783717592186,-15.7233274789295,-19.7333527837166,33.7564585381173,0.0103905405385647,-0.341015845743273,0.048373987322991,-0.0721092267173616,-0.0303147519422967,-0.13255755006799,0.011592733409211,-0.394095030382135,-0.152499822136743,0.0929164034484103,0.218123787972311,-0.044966089804561,0.142849239260481,0.0565024276076325,-0.0258732937305021,-0.0266264378964392,0.00776914336133031,0.00996117120904988,-0.0166984121989324
"NOT AT ALL ACCEPTABLE",66.5600999317256,-0.032190878633324,-55.524689233313,-19.2118896238787,67.8983612769227,-0.398627246979962,-0.287125619108491,0.0430585348628616,-0.0731377761974196,-0.156996322527291,-0.0114894761822848,0.0134917863441474,-0.317773102457686,-0.147916085732771,0.0883841978800468,0.392055477798172,-0.0385523541664919,0.141860254526402,0.106202023554402,-0.163030165633708,-0.254886140392119,0.0277755814020605,0.00978753702500699,-0.0339392633431285
