"","(Intercept)","year","racesex.L","racesex.Q","racesex.C","momed.L","momed.Q","momed.C","momed^4","momemp.L","momemp.Q","momemp.C","famstru.L","famstru.Q","famstru.C","religion.L","religion.Q","religion.C","region.L","region.Q","region.C","year:racesex.L","year:racesex.Q","year:racesex.C"
"ACCEPTABLE",14.170048189099,-0.00668513547933757,13.9278663137722,4.11660223989355,-14.349251041106,0.0991286588427834,-0.0839457248326952,-0.0239260039332001,0.0767530958422575,-0.0895901447927548,-0.147974885020497,-0.0182572903918737,-0.0162981514482354,-0.0146509692177269,0.0401222202571497,0.109331175688315,0.0418084900640013,0.0595268165432383,0.0685077050923817,-0.0281106040595091,0.0421620092619183,-0.00702265023438531,-0.00206534928881373,0.00734140617036312
"SOMEWHAT ACCEPTABLE",19.5029655282153,-0.00930444423134179,-18.4726454591779,2.47223473881019,22.7955906999291,0.108731046756664,-0.231923824872542,-0.00241523228367265,0.0571740649476831,-0.429033631712826,-0.304140093615959,0.042219371207512,-0.0502790226232717,-0.066634744693047,0.110222801483956,0.210720190306828,0.00235804536009864,0.0464008404849183,0.0482007501583298,0.00344424117634672,0.0402018225728731,0.00902010629107695,-0.00123225300778766,-0.0111638648271501
"NOT AT ALL ACCEPTABLE",60.3912901108934,-0.0294251272023703,-72.3458754559635,-2.6811840500654,21.0087665223452,0.0617265324077323,-0.196852515738998,-0.0317397350857237,0.0171919102859266,-1.06856956176713,-0.283978427486658,0.0559832079536303,-0.0336366874874932,-0.0760187266735246,0.140491897187894,0.281632372495094,0.127920641645264,0.0607337079058378,-0.0158782206754616,0.211154591562155,0.0536789330884733,0.0360167478932615,0.00139057447410959,-0.0104106526417889
