"","(Intercept)","year","racesex.L","racesex.Q","racesex.C","momed.L","momed.Q","momed.C","momed^4","momemp.L","momemp.Q","momemp.C","famstru.L","famstru.Q","famstru.C","religion.L","religion.Q","religion.C","region.L","region.Q","region.C","year:racesex.L","year:racesex.Q","year:racesex.C"
"ACCEPTABLE",0,0,0,0,0,0,5.76617352754383e-07,0.0416225118480102,2.71521789496632e-08,4.79172257428218e-11,0,0.199247610645941,0.0409827788257442,0.0887998846742764,3.2806811267605e-08,9.50350909079134e-14,0.00289995412486288,9.26688335578518e-06,0,0.0151674807787994,0.000103756741343108,0,0,0
"SOMEWHAT ACCEPTABLE",0,0,0,0,0,0,0,0.834255979281232,8.19183700340176e-06,0,0,0.00120435693142418,1.95738919972488e-05,1.64313007644523e-14,0,0,0.857906949064908,0.000207845990045419,1.20033566157751e-05,0.771882640453464,0.000122003388407954,0,0,0
"NOT AT ALL ACCEPTABLE",0,0,0,0,0,7.17192163979252e-05,0,0.007388587366157,0.142569289171972,0,0,1.06324483173381e-06,0.0584016677560932,8.88178419700125e-16,0,0,0,1.11052924856025e-07,0.252026059609257,0,1.09532966252601e-07,0,0,0
