"","(Intercept)","year","racesex.L","racesex.Q","racesex.C","momed.L","momed.Q","momed.C","momed^4","momemp.L","momemp.Q","momemp.C","famstru.L","famstru.Q","famstru.C","religion.L","religion.Q","religion.C","region.L","region.Q","region.C","year:racesex.L","year:racesex.Q","year:racesex.C"
"ACCEPTABLE",-35.5706002104104,0.0182059478432286,-35.5430263916934,7.42007757543896,19.5287648584936,0.351413416259568,-0.17418351964258,0.031592332511892,-0.0256745236667051,0.182177434919174,-0.0522872286702666,-0.00911194629507346,-0.30370958444276,0.00961686994270065,-0.0441860474234605,0.0192561765592487,-0.0256361769521473,0.043931348199778,-0.132524161954447,-0.0644826089597083,0.116755042121226,0.0176754952972668,-0.00379420575769912,-0.0094851047675717
"SOMEWHAT ACCEPTABLE",-24.5001297480755,0.012712815842169,-53.6182372934057,1.00817623677416,35.5599968150212,0.119291412615057,-0.146251981421602,0.0268069130320384,-0.0775637994931387,0.343162665914342,-0.0481260112784339,-0.0116527326977833,-0.303164557985385,0.02711537863901,0.00369500976447849,0.187672129743971,-0.0373693957375095,0.085836989220418,-0.056541512188435,-0.0823703997367749,0.0840600952223281,0.0267981683702171,-0.000587145625839516,-0.0174663486846591
"NOT AT ALL ACCEPTABLE",33.7443328689411,-0.0156818269558749,-76.3751556645758,3.7273893248494,49.3289988239652,-0.417475425934397,-0.0742254112456306,0.00580600800268059,-0.115266230010688,0.406496715026088,0.0478605957859963,-0.0405174441926831,-0.154963413608821,0.0590583630608755,0.0444455710134474,0.271529089438708,-0.0749030750147946,0.0725415219420037,0.0465305144443181,-0.253458083299782,-0.173022009138962,0.0384481291050192,-0.0018188023132471,-0.0245175792568803
