"","x","class","predicted","std.error","conf.low","conf.high"
"1",1976,"Conventional",0.540205764089905,0.0467659269675926,0.517370881821734,0.562873077080421
"2",1977,"Conventional",0.467595278396528,0.0409766408717893,0.447664010489054,0.487630503709573
"3",1978,"Conventional",0.437360942359393,0.0378334291639905,0.419206491948764,0.455684750167599
"4",1979,"Conventional",0.432456601471068,0.0395253949432125,0.413551308327091,0.451560678314753
"5",1980,"Conventional",0.401151543113214,0.0399163631202648,0.382510977742206,0.420082515083102
"6",1981,"Conventional",0.362045997275028,0.0388156782838215,0.344665310876859,0.379795200194438
"7",1982,"Conventional",0.345876774089854,0.0393705977515056,0.328632154290783,0.36353629995012
"8",1983,"Conventional",0.315651343900438,0.0413642680491347,0.298405619305826,0.33342009445734
"9",1984,"Conventional",0.294821316629285,0.0427808104084591,0.277693695189861,0.312548224179497
"10",1985,"Conventional",0.272188375384395,0.0440254023085158,0.255434259025892,0.289613961147292
"11",1986,"Conventional",0.249882114426986,0.0466332964629664,0.233144368076739,0.267402479408349
"12",1987,"Conventional",0.236004308538249,0.0460821126979463,0.220108986023864,0.252675619189676
"13",1988,"Conventional",0.23078571463837,0.0468179278906968,0.21489947605372,0.247476146596156
"14",1989,"Conventional",0.221819122767628,0.0519710342317,0.204735142861482,0.239898630451143
"15",1990,"Conventional",0.202525001738731,0.0557592290306038,0.185446569361829,0.220750003465493
"16",1991,"Conventional",0.194926616803923,0.0582281184627415,0.177637654052696,0.213461488251491
"17",1992,"Conventional",0.183339446737943,0.0591640531953285,0.166610327730215,0.201342495859995
"18",1993,"Conventional",0.176176857549907,0.059809317644025,0.15980339769849,0.193840899312249
"19",1994,"Conventional",0.153089657208024,0.0646851454857072,0.137364809753697,0.1702593193464
"20",1995,"Conventional",0.143163510680603,0.0663770835487357,0.127933354281576,0.159874385615211
"21",1996,"Conventional",0.161742245178893,0.0667512793849426,0.1447789656052,0.18027410024482
"22",1997,"Conventional",0.155262422894271,0.0705428579977229,0.137979878782011,0.174272043491292
"23",1998,"Conventional",0.160193003023277,0.0705100507556137,0.142462035752783,0.179668420094259
"24",1999,"Conventional",0.150227810681038,0.077452145258635,0.131859244699848,0.170652205053275
"25",2000,"Conventional",0.143818884842517,0.0833203761204032,0.124855482244248,0.165119074019627
"26",2001,"Conventional",0.140715483707785,0.0850996814664596,0.121729593288313,0.162115968627226
"27",2002,"Conventional",0.140375260616796,0.0824235145349308,0.121989476683167,0.161023881590738
"28",2003,"Conventional",0.132537873611836,0.0815723866046548,0.115211165082315,0.152022641381106
"29",2004,"Conventional",0.149173211191695,0.0758928156715785,0.131261843219674,0.169053067002205
"30",2005,"Conventional",0.168857513119966,0.0728397342366599,0.149756866546771,0.189850366357622
"31",2006,"Conventional",0.15601306310588,0.0790022386488077,0.136692293195232,0.177503232458013
"32",2007,"Conventional",0.137649825393389,0.0851469971531494,0.119010549818661,0.158682547084038
"33",2008,"Conventional",0.139210333054435,0.0875913864950572,0.119882832730156,0.161083509272132
"34",2009,"Conventional",0.0965771899626564,0.103201245142755,0.0803117504683097,0.115722344445003
"35",2010,"Conventional",0.132565016219319,0.0883253942833541,0.113892632556866,0.153767456548831
"36",2011,"Conventional",0.110521756523753,0.0959253466211085,0.093347269617251,0.130401616642879
"37",2012,"Conventional",0.0985365341006137,0.105172955854636,0.0816807052572385,0.118422213092247
"38",2013,"Conventional",0.105762481394452,0.10355248857943,0.0880456318196662,0.126549664610834
"39",2014,"Conventional",0.128740692486212,0.101264414216112,0.108069468373787,0.152688979035876
"40",1976,"Neotraditional",0.203325238489587,0.0582674803538095,0.185451312173826,0.222451400384454
"41",1977,"Neotraditional",0.245745497263067,0.0481365779664848,0.2286800557186,0.263649151796915
"42",1978,"Neotraditional",0.263564563000663,0.0432407936681077,0.247447260484191,0.280340587691106
"43",1979,"Neotraditional",0.287956978801789,0.0440317904870853,0.270590643767685,0.305970341895204
"44",1980,"Neotraditional",0.269457160419423,0.0448992540253737,0.252489370156234,0.28712722980655
"45",1981,"Neotraditional",0.28409875645973,0.0421115782296075,0.267614893596959,0.301180413499909
"46",1982,"Neotraditional",0.283050502215569,0.0424024031284078,0.266493373962039,0.300215288966381
"47",1983,"Neotraditional",0.261892310702274,0.0444720125152855,0.24539599819669,0.27908742310664
"48",1984,"Neotraditional",0.252574042875845,0.0457744455709416,0.236016032630631,0.269883340250033
"49",1985,"Neotraditional",0.251651017890641,0.0462388937354471,0.234970807335612,0.269098822928537
"50",1986,"Neotraditional",0.240237214209467,0.0479252420643489,0.223512851002301,0.257797507559163
"51",1987,"Neotraditional",0.243748992178663,0.0464639378537612,0.22735587996116,0.260924936859499
"52",1988,"Neotraditional",0.247842418119448,0.0458676813519909,0.231466015487614,0.2649779827822
"53",1989,"Neotraditional",0.245101756127164,0.0503725644260453,0.227296877863764,0.263825147869108
"54",1990,"Neotraditional",0.203996535847065,0.0565448523518191,0.186589270227521,0.222583375337767
"55",1991,"Neotraditional",0.212979666165353,0.0563479412663954,0.195054224135677,0.232077499355636
"56",1992,"Neotraditional",0.224826491539213,0.054546462539364,0.206743614448541,0.244004486703164
"57",1993,"Neotraditional",0.208601321047334,0.0552957883228283,0.191273764422605,0.227057875631577
"58",1994,"Neotraditional",0.188787989007383,0.0590660084494258,0.171693541271407,0.207158758067805
"59",1995,"Neotraditional",0.182771693836174,0.0597615073688923,0.165921726209124,0.20092063387412
"60",1996,"Neotraditional",0.200913746009454,0.0602795035186827,0.182613694202167,0.220552848759179
"61",1997,"Neotraditional",0.181790033205843,0.0639605307780954,0.163881469528675,0.201184711386602
"62",1998,"Neotraditional",0.188324127329349,0.0632974764642185,0.170088905908971,0.208024309039829
"63",1999,"Neotraditional",0.201594291929598,0.0660331993224147,0.181564690753856,0.223230816053169
"64",2000,"Neotraditional",0.215788930429247,0.0680985414608272,0.194059025669181,0.239229797100137
"65",2001,"Neotraditional",0.200139543790706,0.0701635898196055,0.179028916602181,0.22306311989194
"66",2002,"Neotraditional",0.203651037896752,0.0683368541813687,0.182788628717031,0.226235375849809
"67",2003,"Neotraditional",0.182234277693029,0.0680346513466341,0.163197322136822,0.202953306739059
"68",2004,"Neotraditional",0.18493610662473,0.0665358929314507,0.166080527617037,0.205405123005821
"69",2005,"Neotraditional",0.175127053073546,0.0683258847497771,0.156614877896597,0.195320640359286
"70",2006,"Neotraditional",0.203365015631127,0.0669339242669566,0.182935830412419,0.225446119155078
"71",2007,"Neotraditional",0.185086202441812,0.0699518292026459,0.165292638572794,0.206663173194793
"72",2008,"Neotraditional",0.179862218292709,0.0743121569977697,0.159369017693826,0.202356284515936
"73",2009,"Neotraditional",0.220262142589127,0.0705074443009746,0.197446407726229,0.24490978068863
"74",2010,"Neotraditional",0.193140667499817,0.0708431762915512,0.172418825813099,0.215703814476462
"75",2011,"Neotraditional",0.178099790703947,0.0736738431013047,0.157935079886106,0.200226891250463
"76",2012,"Neotraditional",0.219272708360138,0.0716694575610404,0.196174242857674,0.244264432926816
