"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",3.15112552346452,0.825475898555651,0.828005774919244,1.07580679311739,1.01790986787711,1.07856774833542,1.20895463562118,1.11838254568547,1.1151794989577,1.22084488372071,1.14560295826134,1.18946758907475,0.952748592333544,1.2623988473709,1.62422610413032,1.23337573381193,1.40167300913839,1.45259118627754,1.17567428266001,1.3485506425745,1.2113438508229,1.3438375660705,1.41323922249531,1.51247372670534,1.53093636369774,1.48096750663686,1.49836838859137,1.9783434202154,1.58336579633809,1.49262404731547,1.37056409446385,1.4979763760981,1.24616894443108,1.453408040391,1.51080792924759,1.5807806604243,1.58254169437869,1.63275224949631,1.28073927759029,0.911228137320908,0.80968155946564,0.801790766366828,1.02210058235655,0.908895324605854,0.944109644480262,0.669917835547639,1.03404207918089,0.983766133348765,1.0227079146951,0.91893651447076,1.02888655953037,0.912217503242267,0.840255844745908,1.09720973800009,1.2357889835861,1.04643529724067,0.965410748367875,0.938582323599243
"SOMEWHAT ACCEPTABLE",6.34277403955851,0.922976867569116,0.868624103553863,1.07273960275506,1.03347566827303,1.05897654946243,1.17077509573841,1.04519703544704,0.936478509260367,0.968996738736609,0.914564492828869,0.953943166283051,0.797025950766011,0.985216030842981,1.05352504449125,0.880131979574518,1.07383831755667,0.940338058908118,0.721088695491949,0.775350378925888,0.683843179067439,0.755318342437385,0.818710360151023,0.911188067833307,0.818870919876579,0.864420552309404,0.937777154534662,1.28292420519525,0.989582185953212,0.855826798483999,0.900494568203695,0.828397020034521,0.66685534447958,0.796877930826636,0.94568077917946,0.929598829288028,0.995840732353884,1.05035938184578,0.76927819798525,0.764143813678388,0.699385923570167,0.649291233319284,1.05980319409627,0.864434546358296,0.814014200797694,0.533766965181249,1.19328497191697,1.11378316528035,1.05028443973233,0.909583366620879,0.91314314255592,0.810008795137357,0.730543092606218,1.13610075122616,1.35215492667891,1.09390441777519,1.11714231785652,0.912182359007848
"NOT AT ALL ACCEPTABLE",14.5432035010393,1.01008229607246,0.921380852104425,1.27377966172362,1.04381312785295,0.976506193422074,0.99382373000878,0.678134105737356,0.67212344011014,0.674008106531341,0.59131354004855,0.566285401835858,0.504965506783488,0.737419808182971,0.636138285763835,0.527836438682593,0.552665981736692,0.503372416580736,0.336550903083801,0.369083244496767,0.421494455666411,0.395736517291157,0.425372482041663,0.46200977120176,0.474548288653365,0.422330444331096,0.44196502520429,0.473976038702779,0.336358011430452,0.371748882585923,0.368058320220402,0.371907326904034,0.275083061246239,0.308490003716145,0.345156412943,0.2834537848549,0.386977712171099,0.402705133087819,0.284081989453734,0.576735359233814,0.772923296294302,0.717215829819635,1.16954263404421,0.743252446721175,0.651464023470962,0.3727904151573,1.00324287886866,0.835869162107776,0.846810878657224,0.865283640121962,0.935610016645676,0.97411530225048,0.690103664243274,1.08794709054635,1.39500387291169,1.07532854929177,1.33661513710929,0.824600270315313
