"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesex.L","racesex.Q","racesex.C","momed.L","momed.Q","momed.C","momed^4","momemp.L","momemp.Q","momemp.C","famstru.L","famstru.Q","famstru.C","religion.L","religion.Q","religion.C","region.L","region.Q","region.C","year1977:racesex.L","year1978:racesex.L","year1979:racesex.L","year1980:racesex.L","year1981:racesex.L","year1982:racesex.L","year1983:racesex.L","year1984:racesex.L","year1985:racesex.L","year1986:racesex.L","year1987:racesex.L","year1988:racesex.L","year1989:racesex.L","year1990:racesex.L","year1991:racesex.L","year1992:racesex.L","year1993:racesex.L","year1994:racesex.L","year1995:racesex.L","year1996:racesex.L","year1997:racesex.L","year1998:racesex.L","year1999:racesex.L","year2000:racesex.L","year2001:racesex.L","year2002:racesex.L","year2003:racesex.L","year2004:racesex.L","year2005:racesex.L","year2006:racesex.L","year2007:racesex.L","year2008:racesex.L","year2009:racesex.L","year2010:racesex.L","year2011:racesex.L","year2012:racesex.L","year2013:racesex.L","year2014:racesex.L","year1977:racesex.Q","year1978:racesex.Q","year1979:racesex.Q","year1980:racesex.Q","year1981:racesex.Q","year1982:racesex.Q","year1983:racesex.Q","year1984:racesex.Q","year1985:racesex.Q","year1986:racesex.Q","year1987:racesex.Q","year1988:racesex.Q","year1989:racesex.Q","year1990:racesex.Q","year1991:racesex.Q","year1992:racesex.Q","year1993:racesex.Q","year1994:racesex.Q","year1995:racesex.Q","year1996:racesex.Q","year1997:racesex.Q","year1998:racesex.Q","year1999:racesex.Q","year2000:racesex.Q","year2001:racesex.Q","year2002:racesex.Q","year2003:racesex.Q","year2004:racesex.Q","year2005:racesex.Q","year2006:racesex.Q","year2007:racesex.Q","year2008:racesex.Q","year2009:racesex.Q","year2010:racesex.Q","year2011:racesex.Q","year2012:racesex.Q","year2013:racesex.Q","year2014:racesex.Q","year1977:racesex.C","year1978:racesex.C","year1979:racesex.C","year1980:racesex.C","year1981:racesex.C","year1982:racesex.C","year1983:racesex.C","year1984:racesex.C","year1985:racesex.C","year1986:racesex.C","year1987:racesex.C","year1988:racesex.C","year1989:racesex.C","year1990:racesex.C","year1991:racesex.C","year1992:racesex.C","year1993:racesex.C","year1994:racesex.C","year1995:racesex.C","year1996:racesex.C","year1997:racesex.C","year1998:racesex.C","year1999:racesex.C","year2000:racesex.C","year2001:racesex.C","year2002:racesex.C","year2003:racesex.C","year2004:racesex.C","year2005:racesex.C","year2006:racesex.C","year2007:racesex.C","year2008:racesex.C","year2009:racesex.C","year2010:racesex.C","year2011:racesex.C","year2012:racesex.C","year2013:racesex.C","year2014:racesex.C"
"Neo-traditional",-0.86423695640291,0.271168653331425,0.595608794244056,0.671462720783879,0.737834082376124,0.852576559589344,0.706554348341072,0.85375345475506,0.839298201867332,0.919478218865183,0.878064611043823,0.976904334571216,0.880096558779059,1.00808408014385,0.922191120343515,1.24102542116189,1.1871044520576,1.19455203512006,1.21056891251637,1.05598976273152,0.830694378318212,1.16570930970452,0.988811670632557,1.27188676832949,1.17026005604951,1.00795629946646,1.23472049454838,1.12152987900671,1.38123546118899,0.918115902484427,0.906151140505317,1.14269879635068,1.18517540965694,1.32789323303516,1.18833781593656,1.24607482129339,1.55163112781639,1.48261466507336,1.36579978021333,0.455296823767533,-0.195583672851894,0.191435270614966,-0.116032561128523,0.02251941527465,0.0254136774878144,0.0393567819813527,0.84696450754501,0.00744458768716789,-0.0327350932265183,0.0704097565108217,0.0760984722976753,0.00319551859928709,-0.120181280681547,-0.145353347324389,-0.0114815504629456,0.0334909565218707,-0.20120800877752,-0.0865207855675563,0.215845022144169,0.623492100950034,0.502397901142587,0.709635046656159,0.507214670725231,0.21127549497422,0.427171146660959,0.278251751032401,0.421769302513606,0.0745758620493394,0.290407495416845,-0.195510953453953,0.166900928573201,0.073569679982947,0.333751203893322,0.272674678703266,-0.111950762897416,0.583032605474068,0.0976926849771535,-0.367636189227316,0.280821592080071,-0.0976245446838845,-0.0622322713505501,-0.310234294719097,-0.859530905362647,0.0646499487797605,-0.26757608674831,0.485926716663675,-0.135773952823162,-0.769441792313932,-0.517276484802996,-0.266644677855697,-1.24954791859058,-0.448269272785954,-0.633925084807847,-0.452275056720345,-0.46971723060688,-0.0323451010133336,0.28537437845178,0.502292436025131,0.280192684696302,0.519854717447671,0.108624504612962,0.228918173390045,0.444614199716794,-0.00642661216211965,0.200821030881305,0.13355617204795,0.199115057440185,-0.0493125609898438,0.142103720626907,0.354077747579974,-0.0989226382126228,1.00931626661592,-0.0358316565730817,-0.160323557676755,0.0650976584933657,-0.0490262505644136,-0.0930789746132753,0.125551244043992,-0.196330326473718,0.185289471769572,-0.338226575255112,0.66201794675596,0.468536460622148,0.285069348199825,0.509569997482201,0.103011008680202,-0.115350425347095,-0.0767983167806055,0.151538373410786,0.4163402518125,0.0939509087569037,0.282747196225551,0.309661015741643,0.234271120043586,-0.0217306514108058,0.101120334118801,-0.0327986074599587,-0.0257786265866991,-0.170223205253066,0.357982131719805,0.129658483458755,-0.0308838550490622,0.13878981625863,-0.0763297235743909,0.159443508133767,0.176145940310737,-0.0233473484433294,0.147263742632461,-0.289968948199076,0.653211810483641,-0.576711194492966,-0.117433206164128,0.0187171230236631,-0.169075086785658,-0.216983044770727,0.0333412090653547,0.171384842637429,0.141494308867052,0.113936919738808,0.490333414743713,0.266483422401641,-0.0721362618612322,0.5039856884097,0.30842985932864,0.111125953867259,-0.321651868627663,0.245494758758896,0.267885450979922,-0.0860387864679871,0.00338488886351523,0.41274910342981,0.0234915030751875
"Conventional Realists",-1.42911186523974,0.444517984974079,0.500966344264754,0.615399594202261,0.586666440171436,0.790063723292597,0.795530773302354,1.15319208262208,1.20896230081193,1.38578936231179,1.50038837747678,1.52858356504917,1.60500385823976,1.4615478248119,1.65483337403863,2.00644692255723,1.7319662355153,1.85876744033916,2.07903877079098,2.03566546123694,1.68394083365511,2.01281130150087,1.43296853257018,2.27359723564801,1.8973818838698,1.99738170474521,2.4064878717649,2.10150323121356,2.35789861409416,1.75603361612859,1.82728078139515,1.89967829121838,1.98548261046124,2.3136709695572,2.20843526842208,2.27083060028174,2.41491895824058,2.39393749742762,2.46476072187702,0.716301506799874,-0.0679328389975968,-0.272291939832024,0.354565277088618,-0.0288071483278727,0.0206917611850341,0.0186025339484103,0.409166086907785,-0.084100620745826,0.0109346557268741,-0.0548303410909103,0.063717800017568,0.0574941337093964,-0.240790043700336,-0.0194879206700441,-0.0280961464229376,-0.0721461828555512,0.0505262802904235,0.184353662878811,-0.353433876725965,0.101092377587969,-0.199923238596862,-0.593699143650888,-0.239196865046345,-0.668152040719976,-0.0745039438953439,-0.196467433431174,-0.319959582834194,-0.292175985573509,-0.384003375137096,-0.501740741635348,-0.188674288383735,-0.642710488047289,0.0170271025166397,-0.394426182145059,-0.700625688711952,-0.21201442707877,-0.354645279673533,-0.844918109898442,-0.633209056105365,-1.39528271916564,-0.551593124763909,-1.19379996025976,-1.45218432411659,-0.538228722674029,-0.666028367840889,-0.0775445845541545,-1.10145153025088,-1.49463466279406,-1.55296249108429,-1.29800637978626,-1.52352503385663,-0.903345517694699,-1.37919505616392,-0.372172057665806,-0.989345051834195,-0.428470187773525,-0.0266325627333135,0.361996976792923,-0.431279487372566,0.136216400184134,0.0116533061254658,-0.219807796451859,0.510894921647237,0.0778578596733114,-0.115466935245972,-0.292494399336488,-0.0162304989193044,-0.584676200121758,0.615772162983198,-0.108144803154504,-0.254798496249416,0.688761869808863,0.146762136788603,0.058383459043189,0.0351356726982267,-0.509360310002057,-0.0873503404786064,0.304160330001242,-0.307089361152782,0.108693044570858,-0.380306405060317,-0.540180227829594,0.071488693679374,0.387352139041064,0.130642705457179,-0.665054736816328,-0.248572279134936,-0.206972689020947,-0.52595978264208,-0.0102474433468899,-0.586076607039923,0.874652155574665,-0.353501800100365,0.175846605374764,0.261484420877716,0.716037884898424,-0.0602691893914253,0.580861237368575,0.537204664305948,0.509856155007898,1.12566097517219,0.534896627405404,0.436673176848652,0.385153671754623,0.553895905547769,-0.0223196573293782,0.969672564466828,0.678445680054821,0.110623518041976,1.17565860247437,0.484626770358529,0.514287279587712,0.736930623492219,0.352758826263506,0.657821997218475,1.02451443722951,0.833154740064816,1.13689373274004,0.529090259219598,-0.0139462472440204,1.26650314460186,0.618892029603674,1.36271925213332,0.445143412842925,1.38880230487448,0.653852227353916,0.716008869364811,0.74855556579353,0.388743823402341,1.48573699887217,0.538423871854749,1.14184054175095
"Dual-earners",-1.90144445095936,0.438536090355917,0.781974595829101,0.73036435428443,0.867356355201664,0.993528506838768,1.00674764567919,1.25203237601856,1.20197042309397,1.26812806509529,1.36962267975909,1.7176790546197,1.80455525644388,1.62743315904687,1.90937750691857,2.33264585741144,2.27501604745565,2.15535935994272,2.07103913457273,2.21405008274691,1.95460137308532,2.20346142053247,2.04703296866244,2.12457247403278,1.87864348476073,1.97044197817344,2.24527530049976,2.32153160995351,2.32386329077469,1.82326526936096,1.82737805689637,2.07328957661352,2.20325783589396,2.11015669255719,2.26179885890814,2.21737442737705,2.51709802632312,2.56034597624577,2.38645407827608,1.96771229810335,0.0244960932422757,0.000501480187672371,0.183197425173318,0.199295521761811,0.0186344424291318,0.00281622609062175,1.19076641714747,0.130245144882285,-0.0655897756890976,0.0754694418760799,-0.0157047961097452,-0.148105318985899,-0.587252484520773,-0.0582149586964325,-0.0756903405490951,-0.131912581235142,-0.0841721460184083,-0.000128627150791959,-0.00252636499197189,0.0491980570917665,-0.0668906680137515,0.121548246047933,0.044682664850708,0.256126633698443,-0.170819570214357,-0.281011309168998,-0.335811756856942,-0.177878175622255,0.109014219175267,-0.559303313310101,-0.430304070487579,-0.453738730844583,0.0774708569614388,-0.0317162153351293,-0.521873197100794,-0.327925821533624,-0.636919809381283,-1.06855650209814,-0.831630731404357,-1.20877504761435,-0.848869366303752,-1.29438871801887,-1.32229380971317,-0.589958965296616,-0.862367895560571,-0.0496852352123206,-1.17359022881565,-1.64704318423007,-1.31116478209727,-1.3076031059455,-2.39596735973911,-1.42965814034326,-1.88808313964716,-1.17647525176266,-1.75478034849876,-1.50580199749828,-0.375979851912026,0.0401471721578104,-0.143859673739189,0.815719441794132,-0.0764340742320164,-0.171262150770698,0.212872856438521,-0.134224168597017,0.0903574715024324,-0.164360392644287,-0.446617824524996,-0.436486478988091,-0.415504652015548,-0.273591961384033,-0.379935907144184,0.60850082211603,-0.249329286803175,-0.288602289379833,-0.330780551145738,-0.401485161361709,-0.361586974179808,-0.309140041789219,-0.287369243532718,-0.0662954793899086,-0.124061771169515,0.0602703200614493,0.00953573293991889,-0.102770357064052,-0.293866285408999,-1.05649916348216,-0.406593620713274,-0.400170789431004,-0.524505186002584,0.00590526119150386,-0.595423663738004,0.428986627946186,-0.220807783065728,-0.130834806178577,-0.0745139735282278,-0.259334682461233,-0.308953216406392,0.20454864141689,0.0908143207382022,0.479768428003385,0.0120067918536483,0.138806163129063,0.336149831295679,0.258523533070022,-0.0787221774588377,-0.271309381295981,0.531670736554629,0.286066286387184,0.00511420510099764,0.54285934187682,-0.409683554010748,-0.0102908474085444,0.192220368197226,-0.109114289484786,-0.198929236316443,0.0768939637493026,0.689702370267787,0.449771652170095,0.257195226663024,0.539712145529749,0.477905305340541,0.348744096349344,0.515281901441264,-0.0622644891195864,0.377155885566103,-0.0679192124567018,0.571637509156995,0.286367606690574,0.0433205367887112,0.766532267641232,0.527960126497992,0.538811809727126
"Intensive Parents",-1.66238432304745,0.110398906518004,0.567773444687766,0.122167710885673,0.511889124701775,0.697944755901821,0.809636081364815,1.00741557571827,1.09436032433723,1.09540972633107,1.30289173455572,1.53060934074112,1.415944963926,1.32515806267269,1.77869228177297,2.08938771283017,2.10816087548862,1.95507046258176,2.22884977947396,2.26590954970076,1.95013645573795,1.89013646118379,2.16139515739533,2.08822239863099,1.92587785609923,1.98232253826619,2.09069857802178,2.25719376943766,2.3477816744372,2.01071138867326,1.70267395978458,1.98170629690811,2.05192947903429,2.21720928742799,2.20093932322731,2.42774632597401,2.48470455611735,2.47097250881947,2.65870358509877,0.72957208370716,-0.0195616528891556,-0.518903574609898,0.625643371704398,0.0874849433457743,0.0561037285470264,0.0849771360616192,0.608460721264395,0.0388827398835325,-0.0153021153231051,-0.0841303995888177,-0.0268199182627158,-0.0876460706032904,-0.424918935030496,-0.0218419385509697,-0.042047027076234,-0.157211840223371,0.0634879483346621,0.281719843116504,-0.0221950749377669,0.733730362556354,-0.154689465299403,0.385676142839908,0.122937525621193,0.06502830165747,0.262932583085125,-0.564126551561033,-0.279104223061128,-0.239575691881394,-0.0326651165725388,-0.631311211307261,-0.290772361875483,-0.638949267332372,0.0683053586875797,0.192569154331849,-0.883446629686625,-0.319014330475122,-0.43954339940627,-0.781153170142887,-0.955191492391169,-0.372021282346421,-0.709813533342985,-0.893975996013899,-1.3347487759026,-0.642577588620168,-0.583548695263735,-0.152283376645767,-0.841118613142618,-1.72435186396163,-1.43173853985805,-1.2949158320309,-1.86953403195795,-1.06267354937642,-1.20547530906732,-0.764525407867219,-1.09346624676542,-0.470091706773654,-0.372566920101927,-0.0702037015901057,-0.607222454951928,-0.0654618673251205,-0.170034662581832,-0.533128193913374,0.452563621258661,-0.859832112805429,-0.187423479476623,0.0529187306255958,0.178796905065125,-1.11752660981302,0.431099639920698,-0.170615593648104,0.161690899341005,0.752300296378366,-0.336125985115303,-0.465891340771347,-0.68655404534947,-0.532358950543354,-0.341045513937838,-0.28054229062694,-0.215472467988036,-0.0989293287040419,-0.690136922456734,-0.263000466238964,-0.0553024363566935,-0.0914468530839865,-0.0378160740526816,-0.739148287139571,-0.246310521510372,-0.553107670233595,-0.349194983488298,-0.626228755813964,-0.124584324185822,0.49413110669609,-0.242362050579431,-0.32250870011205,0.0148038371577606,-0.360816319636738,0.165114563426984,0.220752635236304,0.464561248745463,0.129956284737439,0.772204459815125,-0.0628553592301676,0.84829659111245,0.742644333439361,0.785803513368103,0.132829195198303,1.11402137847792,0.58884392636336,0.824860609783488,1.2807787516448,0.435550241693103,0.532189588942981,0.337909995175156,0.411285157783501,1.10787045761359,0.783782441667371,1.29053004160963,1.47165298699852,0.780056552112661,1.22002953550939,1.69463667543993,1.27970147332944,1.71900939584291,1.21680295518557,1.74241238046167,1.27323908631724,1.24782482423679,0.772459566760367,1.17427668344292,1.74971762013793,1.02155996108772,1.21935939018066
