"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",1.04263631639194,1.30871667079848,1.29126936338195,1.27978596070941,1.2830048008766,1.26168891169253,1.36738645100444,1.36142493829453,1.59864712733844,1.75325210956857,1.84899060027301,1.65740791609031,1.79125845222234,1.79154571643176,1.7687162487907,1.76548104525658,1.94995801785106,1.97359296541656,1.94117819100502,1.75948952532466,1.98238668607451,2.1522175351461,2.20191027350349,1.73038975966735,1.88915370889853,2.00107355620607,1.93988262480888,2.20432277237106,1.76026295917278,2.12380337342275,2.02002054948599,2.06693183023212,2.16414988343815,2.38941811473622,2.28545815528811,2.60067461985783,2.06778608199186,2.43720029865394,2.13920602383022,1.38935861150749,2.22598112024046,2.32883960726923,1.03494130737562,0.93239184617949,0.927258527137151,0.99348255364277,0.560597688438164,0.705724983836901,0.922713130634049,0.995559248097147,1.00373822215791,1.14331090254358,1.11152234602171,0.896812795901835,0.719564913747541,0.962716513972556,0.844987985956932,0.782629352431283
"SOMEWHAT ACCEPTABLE",0.381798122225408,1.31730513317309,1.51324691674622,1.61454385540702,1.50465303831345,1.82344058496754,1.62732525613718,1.6665052258504,2.02405249790998,2.08064582349455,2.45188298296121,2.51348126227056,2.80396070253019,2.61450797448866,2.65982678860402,2.57279249210429,2.99928555424241,2.64039761246147,2.84110699238526,2.72987916981064,2.96477237034192,3.03380963132716,3.08921812736195,2.77148801012758,2.98593246064502,2.83864031358463,2.86539513285442,2.92338361562177,2.57383877476269,2.73063641988765,3.29724691240532,2.61613705843752,2.73432092490385,3.19554790066136,3.17261421133577,3.85481289908477,3.00928413238363,3.77446845406309,3.69780865816679,2.09599257525291,3.33770385825227,5.92854094048274,1.18954193964342,0.962588161440678,0.930143483087729,1.04723110774761,0.310277770943419,0.472033366457175,0.781058476675471,1.00704171450041,1.05117232499066,1.20211198985,1.17693541643049,0.868427597917611,0.587134012669131,0.921793501591447,0.817686193744984,0.783291496943948
"NOT AT ALL ACCEPTABLE",0.162010523601686,1.28069175655565,1.65003629502133,1.53801755493666,1.6417276361594,1.71438902638246,1.8208978701036,1.86763106160488,2.10564376152985,2.35071062003586,2.23570940415706,2.71708329287178,3.37988821276078,3.66236157361524,3.09829067076057,3.63669920492342,3.85776859940702,3.5840086281822,3.44283051251869,3.62505231212437,4.63375932962945,4.15450471679746,4.12549690494327,3.23820936715154,3.18190367821342,3.87040690883565,3.90184503756309,3.71901771554524,3.03782011674613,2.85378387253508,3.61031481073397,3.0108912062824,3.67496596108547,3.92492908434887,4.03563340979759,3.9612123042601,4.19082723675754,5.14681999382562,3.90767144677551,2.48906009081379,6.54832391953836,12.3851828290409,1.24972415410947,0.921967307555136,0.969102564882961,1.1266555909061,0.258790831515697,0.359087245009298,0.628053088660406,1.0459018364121,1.35530660982662,1.33379934496161,1.40866961334027,0.840023557130305,0.520701667038403,0.832826290609399,0.851930756336671,0.714277110386342
