"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",3.04810435763344,0.653685573054146,0.740306775421409,1.03198480131291,0.958242296192611,1.13950270063176,1.73900676970591,1.12504878747218,1.72152669347673,1.52685556484271,2.05306666992116,2.39798911720672,2.52366197757069,1.67154087582177,1.67615129999701,1.77213078107632,2.85510514789809,2.06992920779956,2.33829051887876,1.57650360044704,1.5668665282568,2.42670286256859,2.87335723486701,1.8252574864965,3.56207976250562,1.60192333729351,1.84705898260495,2.88304572612317,2.57912837952997,3.8301030172297,2.20022668631613,2.10632877168855,1.98689110817158,1.53061202688702,3.06621162294657,2.18694371673053,2.15955712963414,1.49076990583756,1.84277629652021,1.46716825723778,0.770696332114803,1.19003404351524,0.699068626896013,1.15433597058851,1.0733662089012,1.02110351528808,0.946310640011078,0.908446196305913,1.09774198003806,0.888219939856855,0.822853631152372,0.542553185074475,0.938613081477658,0.86788404278302,0.992432974640077,0.99971487066226,0.806506599424989,0.955995264935575
"SOMEWHAT ACCEPTABLE",4.31962182449651,1.73656963594919,1.29797318993576,2.50983023900808,1.95306907411428,1.87348239875037,2.67989401152747,2.05781741423962,2.33335922718407,2.1093914709806,2.64201552986102,2.99187236021629,2.73859890512724,2.1646419860994,2.00080820601914,1.99766955832855,2.62352403212939,2.26354397607406,2.41743867752144,1.77554438372794,1.49487554962226,2.58259901567637,2.80965841907941,2.38969801854343,4.25821189453145,1.83061910375338,2.39984695081349,3.03423619338128,2.86396773734645,3.61796339897822,2.59324181664764,2.40738513859419,1.94896537579642,1.70685052077502,3.88441404381883,2.11717478314603,2.67558566252602,1.88758001961162,2.20266455789701,1.2995988436925,0.705519205253228,1.24954463220128,0.682575594059907,0.954075978133937,0.868402316181428,0.65209118222375,1.02006490976186,0.990174197618399,1.13483574421881,0.928132209147275,0.740534870544124,0.650806814252278,0.77459836790615,0.895931202789238,1.08329005419393,0.942986618331489,0.941881705328792,0.996673291351115
"NOT AT ALL ACCEPTABLE",35.277477924874,0.971660650846328,0.7154121110158,1.34857804646642,0.824216915428252,0.756570381727749,1.01771897358296,0.606494879584371,0.643360905460466,0.55082362493601,0.596162056642645,0.636137527834316,0.603442587510936,0.471962601193987,0.345692309183856,0.378684933673778,0.498213742018339,0.321166260262378,0.3368341848521,0.210246821859074,0.275966410677396,0.332308279786954,0.371230885735153,0.314265658969767,0.588286579703592,0.247492121198466,0.292196946995814,0.340353701445678,0.392176808315498,0.482358940100254,0.342532257668921,0.283953820133847,0.25968272317328,0.217656026951486,0.415310241577739,0.256013169536793,0.279980990015499,0.203973662059987,0.203159338292807,0.953180522630086,0.689010711044285,1.22964347870253,0.808365913252717,0.849586296840352,0.68204186499707,0.470600042344856,1.19819635676563,0.990207573410296,1.07430494055407,0.972249248153002,0.821261180842996,0.717234481392859,0.713558844554135,0.957200960570307,1.25954966033352,0.930738998947922,1.30267184696967,1.05456139100687
