"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",0.0718544308721425,0.578446505571683,0.119698665146625,0.52192359819067,0.364208443865994,0.074581068219765,0.113782707204365,0.357601566101772,0.0679322399175368,0.259078765036949,0.0775240105432606,0.0459460522721096,0.0134025054562477,0.0417651953091653,0.0873413063997623,0.149470778341128,0.0096039539051147,0.820064597918982,0.00539086389200372,0.0706719153209989,0.144407901503461,0.0043508778596919,0.0715290120398346,0.311470260789384,0.0348810724307489,0.0409891861424219,0.00212820653963219,0.0478920979195285,0.0332546181347024,0.003939931831761,0.267753043598286,0.441251267750008,0.667117914149403,0.91669346215895,0.656987208250842,0.790968471354163,0.987462441700857,0.783472373760477,0.610676193365732,4.90896212568259e-12,0.00803681430866865,0.127144868823491,0.78436011955236,7.84770328901008e-05,0.00773034749296353,0.122425639450743,0.00369795085748126,2.59890570619703e-07,4.91513656974973e-06,0.240476770495479,0.410861911480043,0.662493356132914,0.446550908519013,0.807294636142718,0.0140730219809784,0.0487613089004499,0.311384608762896,0.112838202120982
"SOMEWHAT ACCEPTABLE",1.18815959737617e-07,0.705491999685052,0.526873454849415,0.326552675217181,0.815912935887232,0.147423713745562,0.532704274031752,0.580718379016055,0.402195574860177,0.546867020521544,0.824811516777362,0.533197677832629,0.867272364319934,0.794640607511799,0.517731143047355,0.423147354910896,0.374360744187002,0.0057838022681167,0.983475166107236,0.510764320671033,0.227978211544338,0.408498954577046,0.185372005494129,0.376790384171929,0.644718203273412,0.641301330507229,0.510192519392056,0.0450304201859024,0.960077195509051,0.644374137919963,0.455917241385691,0.677357852730003,0.0918008147116969,0.00468064604649165,0.0049513312401217,0.00229781990203048,0.00486683061765136,2.21265557689421e-05,0.0679694069067169,2.37587727269783e-14,0,5.3499427110637e-11,0.001140551453225,2.00305873481188e-05,0.03623604492705,0.313908845569525,0,0,0,0.000100262250715799,0.108222559580222,0.7016848035993,0.00323437977882679,0.49067462647008,0.00016028096918097,0.2985978733132,0.963255223573891,0.0498422911764169
"NOT AT ALL ACCEPTABLE",0,0.206904327337186,0.513254653761534,0.00517373746163519,0.00175362548488134,0.0384433690077732,0.00126657387929274,2.73107770059067e-05,0.000293076274241688,1.74553374865383e-07,1.50987755631604e-08,7.14433732174058e-08,6.81608103292319e-10,2.06864969598541e-10,5.34794430961938e-12,1.23900889548167e-13,4.38538094726937e-13,0,3.52895490607352e-12,8.88178419700125e-16,4.44089209850063e-15,3.76965347825831e-10,2.22044604925031e-16,2.22044604925031e-16,3.20099502459925e-12,4.50750547997814e-14,1.05424557972356e-11,0,5.10702591327572e-15,9.03788155426355e-12,3.99680288865056e-15,5.97299987248334e-14,0,0,0,0,0,0,0,0.000574479331365119,0,0,0.000934379298235699,0.00101265875283962,0.0431610900926622,0.0686586112307972,0,0,0,3.92735155507751e-08,0.212563774118181,0.785024630319292,0.11023733419991,0.385901379890524,0,5.57387301292067e-05,1.76556547160089e-10,0.0690798085171176
