"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",2.94621427812845,0.660759977313713,0.678035106352568,0.7800996151865,0.894770228636122,0.978378692660558,1.11564426841046,0.906869042906825,1.1957067074121,0.811999189540754,1.04046113973088,1.09289628703785,1.14886959101921,1.23797941888743,1.13599392744569,0.862365553120826,0.839250759075276,0.951839134768986,1.02840894681405,0.949881833469571,1.1580391627867,1.18906438866512,1.16879528528153,0.602676631817925,1.65277570056369,1.24377263339315,1.04911105227387,1.47142605935562,1.30467519025989,1.31338588000626,0.801610569089409,1.25178525767893,1.16385936126955,1.47247954747036,1.33450441531176,1.52755826475326,1.22337846705495,1.36831880981178,1.27501977777306,1.82116248022437,0.633112144696187,0.847927668631603,0.727573000681242,1.12374537925963,1.2122357198215,1.19211364187031,0.770409445714682,0.841230085485732,0.926741471000512,0.810847109428087,0.743478005502194,0.65212971675136,0.850514692487008,0.868699184644015,0.965302162659487,1.12831500696055,0.93429005824503,0.898611267802889
"SOMEWHAT ACCEPTABLE",1.99034919160712,1.65042874697104,1.78253862654605,1.88627504582074,1.97877798072274,1.94902252146853,2.36849230759877,2.00242020410208,2.46216749611671,1.66125319393057,2.18782155178198,1.93290613123034,2.20881797728518,1.63268064926613,1.94936556199534,1.35620595312711,1.28813381859428,1.47295577056344,1.3621418500511,1.40239775912808,1.57301712070703,1.54241846631354,1.61382582704717,1.32145404326621,2.36965606586807,1.9299386628963,1.7137388607046,2.16968988092668,2.13351239539025,1.65310398775958,1.445558318733,1.64141689586015,2.09499742306344,2.1804314242579,1.6967617923876,2.3067088282162,2.30809508097325,2.12605149791528,2.09255915464521,2.19803083376995,0.697048614293258,1.1464423668916,0.751853919010094,0.975066298328426,1.03337903619745,0.930848009129558,0.628624842541798,0.742471809341816,0.878367830387813,0.844652878623059,0.740463579145646,0.682053645939974,0.75618682742691,0.890961969250163,1.09042957551376,1.15702252978488,1.04271620658298,1.00450196364464
"NOT AT ALL ACCEPTABLE",36.7313758263519,1.01378654789508,1.03969035690824,1.27529299497177,0.984892658233014,0.891646844721277,0.953974814623977,0.688880204122474,0.692839456072056,0.465787718166994,0.566021171723621,0.5127675283597,0.595226618183929,0.514850493476766,0.410494856082371,0.3466613358081,0.312669512454246,0.309250419997763,0.252802795737916,0.257555349477863,0.333032214387511,0.308650434874992,0.346113803524305,0.245825007090255,0.461440921620235,0.380646347430662,0.332433946657051,0.35357106548026,0.389683734944912,0.340776406196033,0.298663321453361,0.300801099073759,0.354025931063921,0.388573047420354,0.367831222642838,0.390206251953617,0.384172833058204,0.467543311486488,0.296224142218523,1.5948928665151,0.917055221778728,1.87984950881186,0.92955095954261,0.793178336661857,0.763395001665547,0.591269830471632,0.573394000138779,0.622122389649367,0.798402764857116,0.912750599457444,0.79432216338682,0.849755109374319,0.694898190429679,0.927950111834549,1.11493537472251,1.15397124056873,1.56054349770773,1.1043980500212
