"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",0,0.21640634186023,0.203862990947323,0.641755351323994,0.908048207719153,0.613370272143001,0.210008036215551,0.448324570142134,0.457769309487525,0.174648993986869,0.353655483480488,0.22947454500235,0.733339887687521,0.126617961318785,0.00180491346902434,0.166467582367154,0.0275877695759936,0.0134145880781567,0.268589086885487,0.042775735308169,0.199163814645729,0.0522124630721565,0.0257262251591606,0.0107704183941233,0.0101226711852269,0.0166142316533304,0.014086957609345,4.43488363415234e-05,0.00349607731585966,0.0104723694840636,0.0484813360714058,0.0112267326731044,0.161217867805664,0.0207812829561078,0.0106554746351331,0.00435363097016284,0.00606574504266355,0.00397894703810842,0.134028133132937,0.00789269614032806,0.00300901234213224,0.000891417404468964,0.70949678217946,0.0377819564781592,0.192651403989289,8.88178419700125e-15,0.491737207360655,0.702510424784718,0.62464228134316,0.0481944735576996,0.741085894648724,0.203015086271709,0.000236676513499567,0.0492540177921781,1.76195361190068e-07,0.297277257573436,0.422339589220393,0.296705143645613
"SOMEWHAT ACCEPTABLE",0,0.576898949906811,0.307280902132402,0.632853255625423,0.818583607357134,0.682600137498867,0.267156639653495,0.749436905408351,0.634641707493125,0.820383904158648,0.518075573905621,0.729026078546515,0.0888962324880791,0.917816002373363,0.725483895090263,0.374774235522487,0.624108475188696,0.669176415165322,0.018913660830042,0.0713620031119111,0.00788538682279505,0.0545667600733852,0.178574719024782,0.550636959654603,0.21206809027417,0.3560901727192,0.684491577303729,0.120838746237222,0.94462297196227,0.300429348517879,0.492712758814456,0.220548079086747,0.00748172504622846,0.145836259911344,0.718793404551958,0.636678663421538,0.979338451601367,0.764235573572751,0.0989819012971973,2.22044604925031e-15,2.28599201124169e-07,2.46385134516913e-11,0.301695976751975,0.00106426600218201,1.69991701670646e-06,0,0.000174920406828871,0.0095977392852602,0.274035135271103,0.02281302060597,0.283936304140701,0.00280192512963473,1.3725243164231e-11,0.00527387924005951,1.46549439250521e-14,0.0344750080794947,0.00934067453199527,0.116788655533663
"NOT AT ALL ACCEPTABLE",0,0.942677598530695,0.541204920630158,0.0901691694642373,0.759059650006633,0.861928922596529,0.964433711890404,0.00427953333584208,0.00331720999803009,0.00374573542140832,0.000109514972918667,2.22757878942659e-05,1.82661470171652e-07,0.0312329406569891,0.00202053405788871,6.63998039018843e-06,3.88732352951671e-05,1.44720987371727e-06,4.21884749357559e-15,1.27942101357803e-12,8.51734460738385e-10,1.5112688878105e-10,6.58186660729143e-09,6.17661354507248e-07,2.50106557397878e-06,4.42576728598709e-08,2.26481732035211e-07,4.0031462367196e-06,1.01363362148277e-12,5.06825692525581e-11,7.42594874481028e-11,1.28151711464852e-10,0,9.70334923522387e-14,1.28479449301722e-11,1.77635683940025e-15,5.18691511963709e-09,4.1548481100051e-08,7.7715611723761e-15,0,0.000148700446537253,1.6596095342436e-07,0.00464691655366423,2.88282731020217e-11,0,0,0.945060782851318,1.81293694769824e-05,0.000224589742129799,0.000541541036953364,0.43505922212195,0.704923820983942,2.88657986402541e-15,0.0660779614127174,0,0.0897920238032901,1.07778230784561e-11,0.00103297674504166
