"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",9.14713860211691e-10,0.0622779665069817,0.146918860545531,0.893495201575926,0.843183177484385,0.529475751341839,0.0111992677857515,0.567673297550697,0.00921310817712429,0.0388086620976664,0.000632637274062597,3.40293817480131e-05,9.39373413411104e-06,0.0135305927381317,0.0119120795622796,0.00589061968978677,1.27152156093047e-06,0.000411434602215932,5.34453017075887e-05,0.0221154684969238,0.0268012107531046,4.08428543516859e-05,1.91167027252526e-06,0.0061202070919435,9.25403156548654e-07,0.0291058038502858,0.00568354777011004,3.35270930240661e-06,2.67883540021607e-05,1.64940752167553e-08,0.000440632816778308,0.000752417556620255,0.00176382573662437,0.0470614265795657,3.71118927300351e-06,0.000352453105484152,0.000710376525762335,0.0656630942758303,0.0067920488883364,8.88178419700125e-16,0.00242906317253233,0.0726656543914106,1.20125482117039e-06,0.0262215849101031,0.239087049864679,0.77365882505096,0.4025662723074,0.0963416668664487,0.143376926728995,0.0475434253710789,0.0744439838229003,6.26698692940408e-12,0.330700719830469,0.0248513539906436,0.891331429588722,0.996185262187381,0.000389983322437892,0.611280486570866
"SOMEWHAT ACCEPTABLE",0,0.00859005376001254,0.182788073297683,3.04970147151362e-05,0.00101498807839717,0.00155181920718173,2.64742567579468e-06,0.000238847036942325,2.53886919323598e-05,0.000155099155171756,1.85905175809076e-06,8.64252520660358e-08,7.07738215810494e-07,0.000121731232437083,0.000481745633647668,0.000589784424309681,5.13167417737215e-06,4.38217436924404e-05,1.59760465072711e-05,0.00287283712626474,0.0414943759581521,6.46522419889273e-06,1.79153959889433e-06,4.08198831893802e-05,1.03190040956491e-08,0.00387864227450896,4.56048408665755e-05,5.98567790222049e-07,1.70017584943949e-06,3.5228692407685e-08,1.24270606791654e-05,4.34651474290337e-05,0.00182329762840538,0.0101043403747705,8.92387874706912e-09,0.000447966587193926,8.37285866683857e-06,0.00245003710098235,0.000314120069897728,1.56460118194701e-08,2.26991480261063e-05,0.0169009491816743,4.73398564793115e-08,0.454082754980846,0.0157958138839303,2.10061479322121e-09,0.755855721213786,0.86020189542425,0.0418760726763183,0.199572437033265,0.00495078907491719,2.93663524830734e-07,6.26989315946069e-05,0.0725496547268041,0.137912704662937,0.313652934114443,0.308938289718482,0.969017938805918
"NOT AT ALL ACCEPTABLE",0,0.882198852813503,0.0615775574130752,0.146675973415922,0.305343983943278,0.127975319183412,0.928536350932238,0.00600027424553429,0.0184498930305019,0.00113182383971311,0.00660944802536556,0.018322434164965,0.00782325852623833,6.14137898371503e-05,1.02897494969056e-08,2.40466702772224e-07,0.00045811488664782,1.38647693326277e-09,1.59409732081173e-08,0,2.280620137185e-12,3.07227248086406e-08,1.34310177646313e-06,8.35991320613516e-09,0.0292286021717654,1.64734892393881e-12,1.55952539770965e-09,3.82557310274478e-07,7.33759729665273e-06,0.0010721806792322,2.25238770745761e-07,7.04319491617866e-10,2.85200751903858e-11,8.21565038222616e-15,0.000106864280535302,1.83857373770024e-11,1.69259384286136e-09,1.55431223447522e-15,3.73034936274053e-14,0.292588289226497,2.90841367656114e-06,0.0233013237638049,0.00161376650033529,0.00827602614270284,3.11100034622314e-11,0,0.0037958524600461,0.858228064326461,0.242200948187456,0.622182389072907,0.0596685977686158,4.17439844064837e-05,8.05180013774276e-08,0.465806085091092,1.28313379548217e-05,0.211544048708127,4.76630195156424e-06,0.526352371395537
