"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",4.47116566917827,0.881748490747207,0.690958161392697,0.886628054086935,0.807197551916757,0.844408750649658,0.858523736006335,0.906182578077501,0.89341262809667,0.946925013121001,0.898426185897276,0.861428188753466,0.8894649569586,0.798728574514618,0.808266862286607,0.864811792101969,0.888460012249269,0.834585799404951,0.881434763691571,0.834079599463052,0.914685723082143,1.1035811659058,1.0703898479538,0.924436620832394,1.01278614958343,1.00840407366041,0.94516796625894,1.25993908511741,0.939709254492013,1.17977863421523,1.01468476380607,0.997266919969296,0.752455198932512,0.758929653984605,0.874447925472205,0.960674546761104,0.582369895859586,1.02948306301257,0.693346536044025,0.793574929837001,1.10354823573978,1.23922660300205,1.05111504693616,0.849979921712978,0.838673273489982,0.832114592827268,1.17878164538265,1.05687823749142,1.04294226101449,0.982898416443885,0.894813194330696,0.994146160232579,1.09739979302664,0.994248685608974,1.02607113386473,1.01196122295809,1.1586447595698,0.914183038750341
"SOMEWHAT ACCEPTABLE",3.12063889380832,0.732188664241539,0.61187375740271,0.668846127682088,0.762109619619515,0.663768042100934,0.610846600558064,0.615482498094294,0.609981212644071,0.625260915838788,0.629612836276905,0.615305515732879,0.611078258720636,0.550461576448776,0.591448898568138,0.472461249199765,0.554269308527485,0.53484383172267,0.548737337557524,0.532854490519946,0.531437055482021,0.633000383158375,0.591111223809844,0.588571864457337,0.576401291026683,0.576426218180552,0.648655587494734,0.739656567728325,0.606012888661032,0.683216485041897,0.697558095534121,0.608554569819894,0.444343143438961,0.42466951790748,0.501325532832739,0.567825814949895,0.351510931711791,0.538625082988082,0.417542570975606,0.643801648445423,1.25574885929474,1.47076160178285,1.00809134410354,0.8327470179063,0.858804454932634,0.804569182455093,1.45036749381556,1.24922942271261,1.06865674446732,1.03217870801014,0.99477016398064,0.979923741839704,1.12920746544441,0.960279929776334,1.03541171050297,0.919324614565606,1.05150106551807,0.84106168867961
"NOT AT ALL ACCEPTABLE",1.80868136944738,0.837685939037772,0.600006773298876,0.54600764033731,0.525652217101833,0.424353513679535,0.458494589620809,0.368138640191918,0.356493964891618,0.386061093883616,0.329135081979676,0.323761548259593,0.322848927201829,0.243007816479864,0.24498563377764,0.267348027466191,0.199683151799211,0.208318305201289,0.235412391848765,0.249058542254979,0.366700977997159,0.296891936369838,0.309246005751733,0.313533554589426,0.169083783722402,0.247649983515661,0.301911435528041,0.26383175571721,0.28474509492061,0.243531587419264,0.264018454659027,0.26270561305396,0.191529832703336,0.188143809178261,0.205849461948099,0.21767503398525,0.183741058570145,0.266265502422633,0.12430915416027,0.384005366396022,1.20611072169113,1.18660062275303,1.10282635424351,0.772859677431804,0.790770417320653,0.799652947630136,2.48660201038692,1.43829378806712,1.00408021006341,1.0694555358298,1.06454393378315,1.31628565227261,1.29604494637519,0.925886657356478,1.17580458469722,0.742233068402929,0.900495348204941,0.730501001515573
