"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",3.9623282432899e-10,0.0562745029150009,0.0652677656871832,0.262278943387997,0.596990463624927,0.913989563104998,0.593994086373039,0.623710861508763,0.372085152947075,0.275399077351258,0.841245004003214,0.644249383334462,0.480931916732495,0.281801996559789,0.517669965790745,0.44534560839462,0.360211584883338,0.796748192259074,0.882539165830808,0.786504617240711,0.457447213381275,0.38360514319928,0.442273418632923,0.0120465204002529,0.0265181299652821,0.31666548403373,0.820047872460246,0.0669624233125146,0.206431858444928,0.184700107447382,0.285268823651776,0.281008935026259,0.486180271364862,0.0797245063930168,0.179857305794053,0.0529022612811154,0.363052946929069,0.171145215548601,0.275512140052297,0,2.26366464683991e-07,0.11078409561781,1.84386638306666e-05,0.0458295349103282,0.000602526695063776,0.0127923763768127,1.53124624258094e-05,0.00193820432981973,0.220392344785142,0.000254174554417785,0.00391405731501138,3.85348883824577e-06,0.00744663256174749,0.0200639055892937,0.49937078592567,0.0262367768091216,0.227123352434474,0.178051390116849
"SOMEWHAT ACCEPTABLE",0.000142054629902688,0.0207853615585092,0.00615556298598663,0.00420759909392454,0.00136098348693925,0.00127070030096577,3.87248173168153e-05,0.000636793930997248,1.13070293539241e-05,0.00970158239932495,0.000114482965800411,0.000924085740384717,9.21559546944728e-05,0.017697305220864,0.00104379768043739,0.129800915683418,0.203075502681868,0.0516155004589682,0.118715016125305,0.0869890326232845,0.0275632543363851,0.0364989585273801,0.023174059813897,0.173786138255365,0.000216764614536791,0.00335713390429726,0.0129817705609268,0.000377242990667215,0.000473232687697944,0.0189076088903462,0.0821514586465435,0.022016135918681,0.00090321384549874,0.000617115906507593,0.0179826110190089,0.000211832842583304,0.00021799424958524,0.00135120446921078,0.00122513125967694,0,2.59349333255887e-05,0.165151030331562,6.36353000942336e-05,0.660896627384419,0.553214022303343,0.307586880700844,7.105427357601e-15,6.27367831018688e-08,0.0338863047783657,0.00271016437333915,0.0031480218562685,2.14037463603933e-05,3.90274371131483e-06,0.0530940860588127,0.0918621692504975,0.00679657137271694,0.45120680155794,0.953928412329313
"NOT AT ALL ACCEPTABLE",0,0.94074009275369,0.828454769940152,0.200550487306869,0.933509028058457,0.516370532354117,0.793911471285115,0.0317711887030352,0.0378083146799388,4.27675193681587e-06,0.00109479139546065,8.27615902521117e-05,0.0028571126042134,0.000163991634813954,3.46399052775226e-07,4.79203343672907e-10,4.53681536782824e-12,3.8684611070039e-12,2.22044604925031e-16,6.66133814775094e-16,4.11970013658447e-10,3.60111940267416e-11,4.56850468566472e-09,1.11022302462516e-15,0.000174525113221913,8.22421270862961e-07,4.3561265705705e-09,4.94178244991872e-08,6.23604841321068e-07,5.6840985251938e-09,3.04529734762582e-11,1.41922917862303e-10,1.03206575952086e-07,2.28998498008615e-06,2.49451289624503e-07,2.07631601245595e-06,1.54089152903936e-06,0.000237670404719559,1.56376533944069e-09,0,0.237324013511367,6.14175377222637e-13,0.248524259500227,1.15717595636777e-05,1.26300230718357e-07,6.66133814775094e-16,0,0,6.60191698047541e-05,0.075141226606708,0.0115849479667169,0.0391232050058705,3.36624061958446e-11,0.16990366614938,0.0215215222742016,0.00398958814931949,0,0.1609964819576
