"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest"
"ACCEPTABLE",0,0.214107288434259,0.000109903341461548,0.220133916580243,0.0296218656644978,0.0785303638922745,0.112910808734252,0.310867305174416,0.248773226980142,0.57912376560659,0.277094592022716,0.124892521648435,0.228611628591779,0.0234666831960868,0.0362684142706333,0.153032266004156,0.244805502516301,0.0730818915452496,0.218102137680142,0.0749313478229705,0.395245720689894,0.366592127560339,0.533658676785625,0.478712661180165,0.911518550606081,0.941512619055763,0.620630493199648,0.0443229380912773,0.570059965809182,0.142104933307417,0.897933389615888,0.980694666137605,0.0101395006038671,0.0130201345055836,0.228054429797624,0.724796712963724,6.57389459979285e-07,0.805183488486152,0.00133220551924151,0,0.0618246939309646,2.43469168530464e-05,0.186247067616782,9.60272863448353e-08,3.01416291925705e-09,2.21720883786247e-06,4.88901716888535e-07,0.0567716752852798,0.178524019311236,0.570225776848296,0.0631764743089143,0.908740081386031,0.0103514250484709,0.855299392691792,0.331670323444846,0.690353798586104,1.2048036475143e-06,0.0307785319338629
"SOMEWHAT ACCEPTABLE",0,0.00361050644990435,1.14694100550317e-06,0.000115649683368524,0.00863952815236435,5.79863905316724e-05,1.56842186549433e-06,3.05033825798162e-06,2.26627535271362e-06,8.39105098138226e-06,1.16780689933815e-05,2.98875448723201e-06,2.31965462171857e-06,2.31331860334194e-08,1.48274455002984e-06,1.98641103565933e-11,8.91034155348081e-08,1.07561712869852e-08,7.43049080043079e-08,1.33866548956973e-08,3.8976673000235e-08,0.000123286963414015,1.12853272635771e-05,1.20013776989669e-05,1.21154747589891e-05,1.20058569821335e-05,0.000459125824393336,0.015797378503426,2.61592306647351e-05,0.0019340870173572,0.00338414752365579,6.08600211029486e-05,4.33622027173897e-11,5.74229552796623e-12,2.2093674001411e-08,6.26943313264405e-06,0,2.52852031690232e-06,8.38373814815441e-12,0,7.06691033482976e-05,1.69086966650411e-12,0.846795143755219,1.03453794197961e-07,5.10393246422325e-06,9.72060560044952e-07,0,1.12274634034293e-11,0.063055627311293,0.353052728157019,0.937484965523317,0.724434386659484,0.00282153978002575,0.257205067252931,0.242297162474321,0.0121097414315958,0.138253535638523,0.000209334484272405
"NOT AT ALL ACCEPTABLE",2.91973698551828e-08,0.129947091405282,5.29982006258756e-06,2.89686550747348e-07,5.57904604736592e-08,4.32320845789036e-13,3.32083249787729e-11,4.44089209850063e-16,2.22044604925031e-16,2.59792187762287e-14,0,0,0,0,0,0,0,0,0,0,8.89066598119825e-13,8.21565038222616e-15,2.99760216648792e-14,1.45661260830821e-13,0,2.22044604925031e-15,2.33812968986058e-13,3.39728245535298e-14,1.55431223447522e-15,4.44089209850063e-16,6.43929354282591e-15,4.88498130835069e-15,0,0,0,0,0,1.45439216225896e-13,0,0,0.010821692493981,0.0160495235810021,0.0631689626627039,8.67586973374301e-08,4.8361059112878e-07,0.000426892831185244,0,1.13242748511766e-14,0.939867793573403,0.15944407300732,0.498514940777349,0.000170287052425167,2.47868251457284e-06,0.126628678467328,6.00610019163561e-05,4.54896120771764e-11,0.0200435985615262,3.92003734583923e-07
