"","(Intercept)","year1977","year1978","year1979","year1980","year1981","year1982","year1983","year1984","year1985","year1986","year1987","year1988","year1989","year1990","year1991","year1992","year1993","year1994","year1995","year1996","year1997","year1998","year1999","year2000","year2001","year2002","year2003","year2004","year2005","year2006","year2007","year2008","year2009","year2010","year2011","year2012","year2013","year2014","racesexWhite women","racesexBlack men","racesexBlack women","momedLESS THAN HIGH SCHOOL","momedSOME COLLEGE","momedCOMPLETED COLLEGE","momedGRADUATE OR PROFESSIONAL SCHOOL AFTER COLLEGE","momempNO, NOT EMPLOYED","momempYES, SOME OF THE TIME WHEN I WAS GROWING UP","momempYES, MOST OF THE TIME","famstruMother Only","famstruFather Only","famstruNeither Mother/Father","religionNEVER","religionONCE OR TWICE A MONTH","religionABOUT ONCE A WEEK OR MORE","regionNorth Central","regionSouth","regionWest","year1977:racesexWhite women","year1978:racesexWhite women","year1979:racesexWhite women","year1980:racesexWhite women","year1981:racesexWhite women","year1982:racesexWhite women","year1983:racesexWhite women","year1984:racesexWhite women","year1985:racesexWhite women","year1986:racesexWhite women","year1987:racesexWhite women","year1988:racesexWhite women","year1989:racesexWhite women","year1990:racesexWhite women","year1991:racesexWhite women","year1992:racesexWhite women","year1993:racesexWhite women","year1994:racesexWhite women","year1995:racesexWhite women","year1996:racesexWhite women","year1997:racesexWhite women","year1998:racesexWhite women","year1999:racesexWhite women","year2000:racesexWhite women","year2001:racesexWhite women","year2002:racesexWhite women","year2003:racesexWhite women","year2004:racesexWhite women","year2005:racesexWhite women","year2006:racesexWhite women","year2007:racesexWhite women","year2008:racesexWhite women","year2009:racesexWhite women","year2010:racesexWhite women","year2011:racesexWhite women","year2012:racesexWhite women","year2013:racesexWhite women","year2014:racesexWhite women","year1977:racesexBlack men","year1978:racesexBlack men","year1979:racesexBlack men","year1980:racesexBlack men","year1981:racesexBlack men","year1982:racesexBlack men","year1983:racesexBlack men","year1984:racesexBlack men","year1985:racesexBlack men","year1986:racesexBlack men","year1987:racesexBlack men","year1988:racesexBlack men","year1989:racesexBlack men","year1990:racesexBlack men","year1991:racesexBlack men","year1992:racesexBlack men","year1993:racesexBlack men","year1994:racesexBlack men","year1995:racesexBlack men","year1996:racesexBlack men","year1997:racesexBlack men","year1998:racesexBlack men","year1999:racesexBlack men","year2000:racesexBlack men","year2001:racesexBlack men","year2002:racesexBlack men","year2003:racesexBlack men","year2004:racesexBlack men","year2005:racesexBlack men","year2006:racesexBlack men","year2007:racesexBlack men","year2008:racesexBlack men","year2009:racesexBlack men","year2010:racesexBlack men","year2011:racesexBlack men","year2012:racesexBlack men","year2013:racesexBlack men","year2014:racesexBlack men","year1977:racesexBlack women","year1978:racesexBlack women","year1979:racesexBlack women","year1980:racesexBlack women","year1981:racesexBlack women","year1982:racesexBlack women","year1983:racesexBlack women","year1984:racesexBlack women","year1985:racesexBlack women","year1986:racesexBlack women","year1987:racesexBlack women","year1988:racesexBlack women","year1989:racesexBlack women","year1990:racesexBlack women","year1991:racesexBlack women","year1992:racesexBlack women","year1993:racesexBlack women","year1994:racesexBlack women","year1995:racesexBlack women","year1996:racesexBlack women","year1997:racesexBlack women","year1998:racesexBlack women","year1999:racesexBlack women","year2000:racesexBlack women","year2001:racesexBlack women","year2002:racesexBlack women","year2003:racesexBlack women","year2004:racesexBlack women","year2005:racesexBlack women","year2006:racesexBlack women","year2007:racesexBlack women","year2008:racesexBlack women","year2009:racesexBlack women","year2010:racesexBlack women","year2011:racesexBlack women","year2012:racesexBlack women","year2013:racesexBlack women","year2014:racesexBlack women"
"Neo-traditional",-0.544439611939498,0.0711320455271237,0.195849883183128,0.282791702726428,0.369915005394801,0.441366326867865,0.419811035636471,0.518077661720251,0.442363355115636,0.512958360350234,0.779440909621112,0.740776976033562,0.766647993191165,0.842111934794808,0.811697949834808,0.727193232127487,1.00548630107241,1.11299189421537,0.795458141294896,0.941178724958211,1.08315479789012,1.02918026845106,1.10700784723448,0.893269005001953,1.24502130578167,1.07794307829472,0.97893429403686,1.2112839732097,1.05200797635497,0.941872831237062,1.20067048068848,1.16398988172487,1.16805511112718,1.79174495143836,1.40587916980763,1.4328977558923,1.6637830493612,1.40943878211909,1.27025985901115,0.486048689584691,0.386974519388475,0.637016663928925,0.0848820263706809,-0.0127131633653425,-0.101587193412858,-0.0767282377740926,-1.14456349529409,-0.793249396347133,-0.362348840216747,-0.0308905859104749,-0.031550718134362,0.0650976499693589,-0.0684190185607018,-0.025685140445855,-0.250446524831959,0.136128310189317,0.286911144036995,-0.00248578144964195,0.047541268528977,-0.0478456381920508,0.0317153121835324,-0.125093999587172,0.0638044536342328,0.285838455335052,0.0421852903842551,0.251563349970237,0.2059061741679,-0.0732201044735743,0.0375168131144751,0.211828147071433,9.03182357766888e-05,0.0207334751509799,0.119316172543255,-0.0903009212626269,-0.37985186382146,0.283725628019375,0.167787971017097,-0.167521569535706,-0.0513372650864105,-0.117211952564221,0.3174800556992,-0.23675185114792,0.192063678831404,0.0491948712444441,-0.346036227861736,-0.0456504114824474,-0.0745867233661988,-0.340868474083859,-0.0760891539699307,-0.155843033390731,-0.284587329120612,-0.178798236161502,-0.275885685663663,-0.228726261101333,0.0555016739691762,-0.2636621577669,0.276116002972761,0.538386562365401,0.280099080654433,0.18736712346684,0.528960546233677,0.259050553658678,0.334732351414578,0.384711954524282,0.424779049657885,0.0523704004651005,0.0323431954129056,-0.299179184008693,-0.0748642812380163,-0.366711144633969,0.638611029197003,-0.714677451232217,0.160054154434881,0.596434068399943,-0.0340798358650179,-0.137281550256604,0.284367510415492,-0.506811720079333,0.234206466601331,-0.433419950143881,-0.13770004372395,-0.516891185370897,-0.812593705802217,0.246551780241908,-0.788476953845833,-0.57974214109065,-0.149118424026711,0.0762665872608951,-1.10849621957206,-0.826580437056741,-0.200622123795857,-0.855472011427995,-0.638326622713684,-0.340158878763976,0.47355663887367,0.776743372464746,0.81985998451277,0.637470771768422,0.653408673233867,0.708726095460023,0.740462034053822,0.569520215485567,0.620866152646092,0.0943870149759303,0.462564415966481,0.154149670026736,0.124583247890267,0.0658086151383704,0.415502735882928,0.760981341448176,-0.561710482379755,0.486197014440552,0.0361989061826343,-0.709483537539964,-0.0257021105008599,-0.220039977676621,0.0537333520804943,-0.228633959387323,-0.908585275366316,0.582735108704329,-0.154972086235876,0.643320410101876,0.229484592667261,-0.475674788317674,-0.228176313496242,-0.517884604653536,-1.34485164742066,-0.494401664593688,-0.768296468690103,-0.57938331432942,-0.368504000368342,0.0150355052705847
"Conventional Realists",-1.21372298128056,0.203735726789342,0.173128837055131,0.108427095161808,0.519749178593521,0.486350131550866,0.598230362462868,0.815125045105006,0.91412653361483,1.0318314478311,1.13442859177465,1.34920050809613,1.3031540974562,1.38572060533546,1.51303289822923,1.42635656301814,1.56442109243798,1.80409587547459,1.90889291352888,1.80992459606136,1.63701617567642,1.98367129216155,2.05162757022393,1.81609144467656,2.10470823929114,2.24533566410923,1.9402085518603,1.83806637601568,2.08505686628858,1.89324292139219,2.03234872300604,2.04842548523713,2.27149067374208,2.26350409299055,2.16155114939809,2.40876840020474,2.17252982695073,2.14092084161982,2.11358393971858,0.147485545406369,0.297293870846491,0.284155105545213,-0.14046875170444,0.134959097083779,0.230201331544238,0.34408975064311,-0.579865325230984,-0.294420591768668,-0.137107921101259,-0.012848320580518,-0.0849960726759032,-0.0270255595047798,0.100925479076941,-0.0749578870454778,-0.237106969905479,0.0605821403752291,-0.208836822276714,-0.0569835061319914,0.140255792845349,0.329619020506804,0.356863574868857,0.101957570328515,0.389459328615416,0.362732029174238,0.537643714450305,0.356232156681645,0.353631073162483,0.467397826888904,0.228007229215783,0.333414691954387,0.163181222880403,0.45948270408987,0.36673999561027,0.308856203337269,0.108348158115253,0.299149311339224,0.465512871044961,0.51845891782622,0.358607880381495,-0.0350834922570312,0.696448474860828,0.255648165616462,0.153492192353817,0.424080732548519,0.757266010617784,0.12086208405973,0.52609599284881,0.142304789032965,0.631146212064136,0.0741216044596612,0.689562705333776,0.455710486253886,0.375238622974415,0.465130678495811,0.543199842926064,0.652190299251641,0.276979536600432,0.176691806536019,0.835350934577595,-0.573918452770908,-0.0142798913879731,0.344269834691473,-0.3257035165582,0.0182183152755465,0.13272110351453,0.211772395261233,-0.220024956608345,0.241846265688239,-0.793483076856453,-0.40285870555873,0.678050089709509,-0.570749272371084,-0.545936594651257,-0.000328025247540512,-0.357315419859056,0.0323551531729969,-0.284670528830873,-1.23451664740836,-0.102752250620855,-1.09835417706232,-0.528547329427391,0.0675752271372541,-1.10897887863902,-0.159202056045432,-1.33250664819437,-0.171581980796427,-1.22470266583947,-1.03208143216924,-0.512739047018458,-0.527625274469704,-0.213309591738423,-1.11239890207479,-0.242362406284163,-0.74512234611923,0.3335897267649,0.258415108228118,0.419278500258131,-0.0310836573988747,0.216775158182189,0.537534118101398,0.789723966151689,0.652536382471845,0.210396821114303,0.262101183889855,0.137837823889037,0.170044447881941,0.626951780115502,-0.183394610507414,0.508295525858174,0.622509588812926,-0.358793869312962,0.322451192439263,0.163356982513221,-0.630316646223018,-0.163677582502607,-1.04247523793486,0.256409873782807,-0.504963093657504,-1.21397321695484,0.243793120704056,0.380731629965204,0.632349320151039,0.0123214116413207,-0.935422878486399,-0.680425660138276,-0.792532027745921,-0.903807758533368,-0.367050432680656,-1.10515439764957,0.901480108515315,-0.266492215068746,0.488894140148431
"Dual-earners",-1.6289626333192,-0.534133017255535,-0.0087186188191889,0.0469757754236383,0.325812472734997,0.309751767340554,-0.261470429932624,0.693518560968414,0.494712160415094,0.789538721151815,0.77352874980678,0.734596092323511,1.3955984679819,1.06615666619449,1.30958963307452,1.2914373058275,1.58570176067551,1.65237483535424,1.52954177299392,1.94931162028558,2.0730372664725,1.9117476981185,1.99356521695891,1.70528578341807,1.81371719498616,2.03747793490186,1.60630989742218,1.9491919139744,1.57388734484681,1.76929247305816,1.75456065715182,2.02883832394514,2.26214042884463,2.41154827003674,2.37191014866798,2.35834307281633,2.5204176876365,2.58256804501294,2.19710198729457,0.51929333005326,1.03792699879956,2.04236290356004,0.0788373355371015,0.0409373193507207,0.125773204650814,0.343389308622659,-1.60647286369718,-1.25154485039683,-0.626445266397579,-0.0774961835359726,0.210747926840247,0.0706519994257939,0.252683316160258,-0.171342879219616,-0.561002432986192,0.0190441889239375,-0.0317304513255597,-0.211146558882759,0.678054888587499,0.140413730747149,0.268540048095883,-0.0513699249642907,0.375216923846885,1.20726434156458,0.187644911244756,0.591193240598992,0.371801101270389,0.627174593669866,0.775313034651643,0.244875003450591,0.95663520065275,0.631461965396258,0.682040858054891,0.313382342773115,0.102968352363542,0.639934302442878,0.398453724857767,-0.00371527174327032,0.261559277915814,0.277029507738562,0.619797683826703,0.217504863990343,0.0132021292551051,0.764805824551822,0.442640673118918,0.750799825696437,0.42436840055127,0.347828402977342,0.315928768003372,0.0129388784196613,0.361090143304915,0.187021419454935,0.156493358400331,0.124113070279119,0.408464417985159,0.643374154056448,1.51855830552484,1.43516058964663,0.975827578116952,0.556016077899315,0.673884673734862,1.47484005752537,0.623538929526157,0.773352722162035,0.232950680038395,0.496933136359182,1.21255255393852,0.396934896692955,0.308509436752224,0.253990767184557,0.979923013515868,0.0103793175251401,0.376111765445491,0.541253504775889,0.00586060586812642,0.0227180560357857,0.419319571731324,-0.286699635236417,-0.275396806869895,-0.664206988955583,-0.460673122583168,0.0151327706264273,-0.450483416078462,0.531995329022185,-0.562259392431597,0.381910614325484,-0.354897135331483,-0.193535492386797,-1.05287163506283,-0.675856273642453,-0.133137179784779,-1.11749582202135,-0.797995069552235,-0.401524217925757,0.76502141340586,0.775244701346608,0.44024237595242,0.476458727952787,0.516902812062123,1.54153889036201,0.406298211278067,0.44060560145695,0.290665588074622,0.360727002252122,0.577905557051629,-0.169441454979222,0.282814189798979,-0.0701762597050761,0.597911665351979,0.666985826447074,-0.551225449316997,0.0200838160452926,-0.500532424709768,-1.05469961914185,-0.593722899024293,-0.803565318404757,-0.293821693398584,-0.766942452485951,-1.18674195026005,0.176938599517855,-0.355647465294453,0.714906361345029,-0.809522144769401,-1.4675558385555,-0.77368590014691,-1.38170205200532,-1.9848980215903,-1.19428900506689,-1.79402132528177,-0.312818802021751,-1.33589323804184,-0.692689076807987
"Intensive Parents",-1.68455639401773,0.067350580409313,0.262289210722246,-0.0826753292875046,0.30727483321526,0.543328974663548,0.598019440500371,0.976322149758137,1.07572546672169,1.150152508514,1.52691346266173,1.66305046920861,1.36836172363595,1.65579102489956,1.99090342281151,1.89734803904058,1.9550860744763,2.19569691105833,2.3615072099662,2.36456287917697,2.3658942735797,2.34984988418185,2.33247823249866,2.16284692135485,2.2218073817188,2.40256196611623,2.04970989082153,2.19078030136052,2.13260916558652,2.25071681845356,2.25699890702531,2.45211487806271,2.46053242729935,2.8343277622744,2.44760187256219,2.94521331929117,2.70830944325476,2.68848320294821,2.49740226380159,-0.160077448193651,0.526270259617903,0.230520479080909,-0.11675301476615,0.264930892443152,0.348575196543121,0.70921344800786,-0.868474719762227,-0.592907029899031,-0.30445330233915,-0.0830932074142021,-0.0187914112523885,-0.1198177250046,0.223428430593246,-0.139189283119171,-0.391309431213122,0.119414109590737,-0.321484954264549,-0.0718903475277611,0.391463174260614,0.165885152414364,0.676983662405998,0.43161378604061,0.684543100597078,0.573856117289995,0.378992093196,0.6627140042814,0.802859518818887,0.547543085513518,0.432530651068912,0.959783803457207,0.428215534974997,0.620084944687533,0.692785384985584,0.681087410835413,0.522866954565974,0.842440358278431,0.900872234513646,0.531689736025069,0.86167409741448,0.835757936291445,0.975305537713899,0.954005062827976,0.762489849923443,1.2052358635043,1.35206534244272,1.24554986096187,1.14671572580544,0.844219452486174,1.10619008891319,1.1668604332356,0.886740636822761,1.06300909198348,0.715405134634345,0.936611239285312,0.899482778382204,1.19059729262398,0.835097012273356,0.949402895913881,0.59840071918774,0.735053973656004,0.731232718313055,1.12071500058975,0.169994610110502,0.675178532574239,0.0348454095351158,-0.256259896500418,-0.383312314931598,0.51072572880116,-0.66832205308161,-0.364565073567054,-0.31146589257851,-0.461028492018459,-0.327154292588316,0.139145861257099,0.279299960367994,-0.157637469213143,-0.766204759840887,-0.275380309135462,-0.664262729616485,-1.04157243282407,-0.27135402342995,-1.11559242344533,-0.736779360167525,-0.26084768788963,-0.923336401773866,-0.63837814876496,-1.08335381071701,-0.303898430428205,-0.90488265760627,-0.318245680999662,-0.862999528885098,-1.71151697008824,-0.633196123702285,-0.405359882917611,0.634806627642031,1.32618255380941,0.543267642144366,0.622771796550971,1.00484899860217,1.23066941357651,0.868222940387218,0.125354619471217,0.500238538334092,0.435275923298972,0.485354102617773,0.122778302009757,0.352315844757529,-0.165370018444879,0.666211065822209,1.2476674156852,-0.500564201994207,0.274772919221587,-0.0948145684535611,-0.620395874304932,-0.452423531854689,0.0819201755443157,0.106886222043875,-0.0992020354937368,-1.02235329325443,-0.651561836276514,0.382826680790137,0.798971265743589,0.0976828310110888,-0.758478732007619,-0.281591944981524,-1.18936250218589,-1.69194759970089,-0.50605332655207,-0.825696771377502,0.652197845987957,-0.44664448273969,0.518382963860603
