k_classes,log-likelihood,resid. df,BIC,aBIC,cAIC,likelihood-ratio,Entropy,BIC % Change
1,-528192.5849371813,4077,1056587.361252762,1056530.1567601701,1056605.361252762,123606.80722887609,-,-
2,-500830.60773842176,4058,1002076.8310879978,1001959.2440754477,1002113.8310879978,68882.8528313569,0.834,-5.159
3,-493624.5310569402,4039,987878.1019577895,987700.1324252812,987934.1019577895,54470.699468393854,0.727,-1.417
4,-487834.85577201215,4020,976512.1756206882,976273.8235682218,976587.1756206882,42891.3488985378,0.768,-1.151
5,-483663.1123745052,4001,968382.1130584292,968083.3784860045,968476.1130584292,34547.86210352377,0.755,-0.833
6,-481025.7695189,3982,963320.8515799738,962961.734487591,963433.8515799738,29273.17639231346,0.753,-0.523
7,-478452.188684026,3963,958387.1141429807,957967.6145306396,958519.1141429807,24126.01472256542,0.729,-0.512
8,-477275.40402571426,3944,956246.969059112,955767.0869268128,956397.969059112,21772.445405941868,0.736,-0.223
